year,parental,delay,sexed,sexedcont,stname,unemp,contmand,aca_mcaid_exp,logben3,tadexpmil,logrstateminwage,sexed1mis,sexed2mis,pctwhitenh,pcthisp,pcthsdrop,pcthsgrad,pctsomecol,pctmarried
2019,1,0,1,1,CO,2.799999952316284,1,1,6.055127143859863,90.8293685913086,2.3095521926879883,0,0,76.487091064453125,16.077442169189453,11.223344802856445,20.707069396972656,27.216609954833984,53.56340789794922
2001,0,0,0,0,CT,3.0999999046325684,1,0,6.646966457366943,56.8730354309082,2.048065662384033,0,0,82.73809814453125,5.61904764175415,15.547618865966797,32.69047546386719,22.047618865966797,57.595237731933594
2002,0,0,0,0,CT,4.400000095367432,1,0,6.631279468536377,62.248497009277344,2.07818865776062,0,0,80.771240234375,7.39968729019165,15.337848663330078,31.943721771240234,22.32065200805664,56.00138854980469
2003,0,0,0,0,CT,5.5,1,0,6.608745098114014,59.27585220336914,2.0850677490234375,0,0,80.610137939453125,7.635298252105713,14.994829177856445,30.64460563659668,22.76801109313965,56.084110260009766
2004,0,0,0,0,CT,4.900000095367432,1,0,6.582463264465332,76.44353485107422,2.0873594284057617,0,0,80.811920166015625,8.816999435424805,15.857912063598633,28.940690994262695,22.993972778320312,56.53346252441406
2005,0,0,0,0,CT,4.900000095367432,1,0,6.5491437911987305,68.9620361328125,2.0540401935577393,0,0,81.42218017578125,8.856195449829102,14.611279487609863,29.020626068115234,23.2366943359375,55.92095947265625
2006,0,0,0,0,CT,4.400000095367432,1,0,6.3593058586120605,68.60295867919922,2.063676595687866,0,0,80.63880920410156,9.666526794433594,14.774166107177734,28.92922592163086,23.863794326782227,54.59406280517578
2007,0,0,0,0,CT,4.599999904632568,1,0,6.331222057342529,76.184234619140625,2.0688183307647705,0,0,79.13493347167969,10.260095596313477,14.139963150024414,27.963787078857422,24.241989135742188,55.252193450927734
2008,0,0,0,0,CT,5.599999904632568,1,0,6.3243727684021,73.69395446777344,2.031141519546509,0,0,77.9745101928711,9.943342208862305,13.328611373901367,29.178470611572266,23.881019592285156,54.34843826293945
2009,0,0,0,0,CT,8.300000190734863,1,0,6.32793664932251,75.0157699584961,2.079441547393799,0,0,78.88555145263672,8.768095970153809,12.537557601928711,28.73531723022461,23.873258590698242,55.14886474609375
